"filename", "language", "C++", "Markdown", "CMake", "comment", "blank", "total"
"c:\Users\paweu\Desktop\cpp-simple-game-engine\CMakeLists.txt", "CMake", 0, 0, 32, 0, 10, 42
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\include\Engine.hpp", "C++", 16, 0, 0, 0, 5, 21
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\include\GameObject.hpp", "C++", 27, 0, 0, 4, 12, 43
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\include\InputManager.hpp", "C++", 14, 0, 0, 0, 3, 17
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\include\KeyCode.hpp", "C++", 39, 0, 0, 1, 7, 47
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\include\ResourceManager.hpp", "C++", 20, 0, 0, 6, 9, 35
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\include\Scene.hpp", "C++", 8, 0, 0, 0, 2, 10
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\include\SceneManager.hpp", "C++", 11, 0, 0, 0, 3, 14
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\include\UIButton.hpp", "C++", 52, 0, 0, 8, 13, 73
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\include\UIElement.hpp", "C++", 17, 0, 0, 2, 8, 27
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\include\UIImage.hpp", "C++", 39, 0, 0, 6, 14, 59
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\include\UIText.hpp", "C++", 27, 0, 0, 1, 8, 36
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\include\Vector2f.hpp", "C++", 7, 0, 0, 0, 3, 10
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\src\Engine.cpp", "C++", 128, 0, 0, 27, 38, 193
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\src\GameObject.cpp", "C++", 37, 0, 0, 10, 14, 61
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\src\InputManager.cpp", "C++", 132, 0, 0, 7, 12, 151
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\src\ResourceManager.cpp", "C++", 33, 0, 0, 17, 17, 67
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\src\SceneManager.cpp", "C++", 31, 0, 0, 4, 10, 45
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Engine\src\UIElement.cpp", "C++", 14, 0, 0, 2, 6, 22
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Game\include\GameScene.hpp", "C++", 8, 0, 0, 0, 1, 9
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Game\include\MainMenuScene.hpp", "C++", 8, 0, 0, 0, 1, 9
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Game\include\bullet.hpp", "C++", 11, 0, 0, 1, 3, 15
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Game\include\enemy.hpp", "C++", 26, 0, 0, 2, 8, 36
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Game\include\player.hpp", "C++", 17, 0, 0, 2, 4, 23
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Game\src\GameScene.cpp", "C++", 36, 0, 0, 0, 14, 50
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Game\src\MainMenuScene.cpp", "C++", 19, 0, 0, 0, 10, 29
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Game\src\bullet.cpp", "C++", 16, 0, 0, 0, 3, 19
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Game\src\enemy.cpp", "C++", 92, 0, 0, 10, 28, 130
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Game\src\main.cpp", "C++", 10, 0, 0, 0, 6, 16
"c:\Users\paweu\Desktop\cpp-simple-game-engine\Game\src\player.cpp", "C++", 69, 0, 0, 5, 17, 91
"c:\Users\paweu\Desktop\cpp-simple-game-engine\README.md", "Markdown", 0, 11, 0, 0, 5, 16
"Total", "-", 964, 11, 32, 115, 294, 1416
